disassembled_number_of_lines,disassembled_line_length_49,disassembled_line_length_56,disassembled_line_length_44,disassembled_line_length_55,disassembled_line_length_43,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_45,disassembled_line_length_63
1576616.0,146483.0,122864.0,282819.0,113365.0,18388.0,8061.0,2904.0,3504.0,2785.0
523039.0,65952.0,36669.0,83535.0,33693.0,4791.0,1782.0,2086.0,4136.0,453.0
976528.0,112456.0,87189.0,118681.0,42904.0,26926.0,11833.0,8654.0,11180.0,4652.0
12779.0,1408.0,1112.0,1885.0,521.0,390.0,176.0,96.0,146.0,41.0
1357526.0,129814.0,100779.0,156764.0,56761.0,37263.0,11984.0,8710.0,11491.0,4603.0
42174.0,9474.0,2961.0,6036.0,1467.0,615.0,309.0,214.0,492.0,126.0
1062954.0,138433.0,100522.0,136891.0,49932.0,31531.0,15399.0,11105.0,14575.0,5899.0
2841.0,220.0,200.0,638.0,92.0,22.0,9.0,3.0,25.0,0.0
508188.0,50939.0,37581.0,55469.0,19568.0,11154.0,5742.0,3810.0,4919.0,2113.0
55649.0,7376.0,2982.0,10329.0,3276.0,293.0,325.0,143.0,609.0,92.0
347511.0,38385.0,18616.0,27450.0,10385.0,11209.0,1149.0,307.0,1516.0,345.0
14938.0,1665.0,1346.0,2098.0,616.0,403.0,213.0,112.0,178.0,56.0
666140.0,86476.0,42770.0,119917.0,47965.0,6313.0,3651.0,1837.0,5183.0,975.0
779746.0,96630.0,70395.0,114953.0,37944.0,20976.0,10347.0,7243.0,10087.0,3951.0
151478.0,21708.0,9951.0,23386.0,8185.0,1423.0,753.0,318.0,975.0,249.0
666256.0,86471.0,42757.0,119968.0,47977.0,6315.0,3650.0,1864.0,5185.0,976.0
601144.0,77365.0,36933.0,107979.0,43528.0,5912.0,3404.0,1789.0,4453.0,900.0
19385.0,4268.0,1581.0,2997.0,803.0,407.0,174.0,136.0,240.0,51.0
152918.0,16166.0,3049.0,6054.0,6766.0,12521.0,145.0,150.0,281.0,26.0
237236.0,33761.0,18229.0,36922.0,23829.0,1062.0,1606.0,636.0,1697.0,428.0
120718.0,16243.0,6589.0,10584.0,3508.0,5544.0,865.0,815.0,975.0,304.0
601153.0,77365.0,36937.0,107985.0,43525.0,5912.0,3404.0,1788.0,4452.0,899.0
2842.0,219.0,200.0,642.0,95.0,22.0,9.0,3.0,25.0,0.0
