disassembled_line_length_64,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_73,disassembled_line_length_72,disassembled_line_length_63,disassembled_line_length_38,disassembled_line_length_69,disassembled_line_length_80,disassembled_line_length_37,disassembled_line_length_81
1531.0,11833.0,8654.0,554.0,214.0,4652.0,3378.0,1833.0,72.0,104.0,54.0
22.0,176.0,96.0,6.0,6.0,41.0,40.0,23.0,1.0,1.0,0.0
1947.0,11984.0,8710.0,526.0,220.0,4603.0,3160.0,1718.0,71.0,125.0,52.0
77.0,309.0,214.0,13.0,7.0,126.0,38.0,40.0,1.0,1.0,1.0
1921.0,15399.0,11105.0,751.0,281.0,5899.0,4227.0,2372.0,90.0,138.0,73.0
4.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
662.0,5742.0,3810.0,240.0,106.0,2113.0,1563.0,848.0,31.0,42.0,26.0
136.0,325.0,143.0,9.0,8.0,92.0,10.0,8.0,0.0,2.0,0.0
243.0,1149.0,307.0,28.0,10.0,345.0,55.0,81.0,1.0,4.0,2.0
33.0,213.0,112.0,15.0,5.0,56.0,46.0,28.0,1.0,0.0,1.0
438.0,3651.0,1837.0,58.0,34.0,975.0,82.0,204.0,7.0,13.0,18.0
1464.0,10347.0,7243.0,473.0,193.0,3951.0,2726.0,1511.0,62.0,95.0,48.0
210.0,753.0,318.0,18.0,12.0,249.0,55.0,21.0,1.0,7.0,0.0
438.0,3650.0,1864.0,58.0,34.0,976.0,81.0,201.0,7.0,13.0,18.0
379.0,3404.0,1789.0,59.0,36.0,900.0,77.0,203.0,7.0,15.0,18.0
30.0,174.0,136.0,8.0,6.0,51.0,46.0,29.0,1.0,1.0,0.0
35.0,145.0,150.0,7.0,5.0,26.0,372.0,6.0,0.0,0.0,0.0
228.0,1606.0,636.0,13.0,12.0,428.0,28.0,27.0,0.0,0.0,1.0
128.0,865.0,815.0,39.0,14.0,304.0,191.0,121.0,9.0,5.0,4.0
379.0,3404.0,1788.0,59.0,36.0,899.0,77.0,203.0,7.0,15.0,18.0
4.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,295.0,196.0,11.0,10.0,88.0,51.0,27.0,2.0,3.0,2.0
181.0,1194.0,648.0,23.0,17.0,428.0,83.0,45.0,2.0,5.0,0.0
135.0,378.0,197.0,14.0,14.0,552.0,60.0,30.0,1.0,1.0,1.0
1678.0,11743.0,8475.0,552.0,219.0,4519.0,3166.0,1769.0,67.0,105.0,50.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
14.0,52.0,10.0,3.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0
74.0,406.0,230.0,13.0,13.0,203.0,75.0,39.0,1.0,2.0,1.0
291.0,2465.0,1384.0,53.0,17.0,643.0,37.0,50.0,2.0,2.0,6.0
160.0,766.0,260.0,54.0,40.0,264.0,318.0,105.0,1.0,0.0,0.0
73.0,240.0,187.0,12.0,13.0,84.0,74.0,34.0,2.0,0.0,1.0
957.0,6279.0,4388.0,300.0,128.0,2422.0,1661.0,898.0,35.0,49.0,29.0
746.0,8060.0,2904.0,204.0,110.0,2785.0,236.0,348.0,4.0,10.0,0.0
1577.0,11294.0,8306.0,472.0,219.0,4587.0,3308.0,1688.0,59.0,116.0,54.0
23.0,176.0,122.0,11.0,9.0,55.0,42.0,26.0,0.0,4.0,0.0
5.0,26.0,12.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0
