disassembled_line_length_40,disassembled_line_length_67,disassembled_line_length_49,disassembled_line_length_19,disassembled_line_length_31,disassembled_line_length_48,disassembled_line_length_50,disassembled_line_length_44,disassembled_line_length_56,disassembled_line_length_57
119050.0,9011.0,146486.0,1.0,1.0,247190.0,165060.0,282820.0,122863.0,19772.0
133455.0,3578.0,125853.0,1.0,1.0,131788.0,189092.0,143192.0,101795.0,26592.0
1913.0,55.0,3261.0,0.0,0.0,129.0,1195.0,2160.0,1345.0,170.0
506.0,40.0,511.0,0.0,0.0,761.0,419.0,947.0,335.0,62.0
26956.0,1657.0,62510.0,3.0,3.0,82584.0,39111.0,80130.0,33989.0,6002.0
824.0,41.0,850.0,2.0,2.0,922.0,462.0,1207.0,581.0,59.0
4124.0,178.0,9511.0,0.0,0.0,390.0,5002.0,6068.0,2957.0,895.0
119048.0,9011.0,146482.0,1.0,1.0,247190.0,165059.0,282821.0,122864.0,19772.0
40583.0,1242.0,84215.0,2.0,2.0,118861.0,53747.0,120779.0,42803.0,8094.0
123552.0,2858.0,118389.0,1.0,1.0,98325.0,94783.0,143374.0,91628.0,15980.0
164410.0,828.0,346868.0,0.0,0.0,5605.0,142338.0,189906.0,117205.0,18064.0
1840.0,141.0,6317.0,1.0,1.0,162.0,5969.0,3668.0,2210.0,1423.0
115585.0,2314.0,111135.0,1.0,1.0,92208.0,135663.0,117094.0,85049.0,17518.0
87633.0,2224.0,85986.0,1.0,1.0,67584.0,41423.0,104651.0,62628.0,7753.0
93165.0,122.0,4029.0,2.0,2.0,4698.0,4132.0,10478.0,2930.0,429.0
4216.0,147.0,6192.0,3.0,3.0,8383.0,10159.0,7972.0,4240.0,946.0
161.0,27.0,216.0,2.0,2.0,477.0,221.0,631.0,199.0,21.0
3199.0,96.0,4758.0,0.0,0.0,4978.0,3887.0,6565.0,2502.0,578.0
92451.0,1462.0,60154.0,1.0,1.0,39334.0,81210.0,146850.0,43805.0,11601.0
163.0,26.0,221.0,2.0,2.0,479.0,216.0,636.0,200.0,20.0
149266.0,3571.0,144413.0,1.0,1.0,108439.0,66162.0,161639.0,105002.0,12581.0
1854.0,161.0,7376.0,1.0,1.0,448.0,13161.0,10329.0,2982.0,1507.0
35282.0,1515.0,67826.0,3.0,3.0,95438.0,47238.0,87100.0,38668.0,6789.0
1641.0,21.0,2694.0,3.0,3.0,2698.0,896.0,2770.0,589.0,134.0
70173.0,352.0,40363.0,0.0,0.0,21786.0,27835.0,55848.0,33921.0,28935.0
1442.0,20.0,2797.0,3.0,3.0,2745.0,852.0,2863.0,583.0,160.0
6268.0,108.0,4696.0,0.0,0.0,177.0,2316.0,3394.0,1301.0,583.0
12501.0,295.0,28076.0,0.0,0.0,15282.0,14848.0,31482.0,23605.0,17394.0
15242.0,330.0,26028.0,2.0,2.0,28593.0,14134.0,26500.0,11381.0,2782.0
